=== SHEET: TB 2019-20 ===
Account	Debit (INR)	Credit (INR)	Balance (INR)
Accounts Payable	146077373	235077943	-89000570
Accounts Receivable	568355464	195028126	373327338
Accumulated Depreciation	0	488390000	-488390000
Bank	603458664	155154696	448303968
Contract Revenue — Bridges & Flyovers	0	168730374	-168730374
Contract Revenue — Buildings	0	63036432	-63036432
Contract Revenue — Industrial EPC	0	14146485	-14146485
Contract Revenue — Sewerage & Drainage	0	70471264	-70471264
Contract Revenue — Water Treatment	0	165272626	-165272626
Depreciation Expense	488390000	0	488390000
Equipment Hire Charges	17026479	0	17026479
GST Input Credit	35859344	36186138	-326794
Materials Consumed	58397734	0	58397734
Output GST Payable	36186138	86698283	-50512145
Plant & Machinery	4883900000	0	4883900000
Retention Money Receivable	8263903	0	8263903
Salaries & Site Overheads	9633143	0	9633143
Share Capital & Reserves	0	5283900000	-5283900000
Site Services	77281790	0	77281790
Specialist Works	1872446	0	1872446
Subcontracting Charges	44640150	0	44640150
TDS Payable	1920064	2475884	-555820
TDS Receivable	3305559	0	3305559
Working Capital Borrowings	0	20000000	-20000000
TOTAL	6984568251	6984568251	0
=== SHEET: TB 2020-21 ===
Account	Debit (INR)	Credit (INR)	Balance (INR)
Accounts Payable	1052543471	1555872374	-503328903
Accounts Receivable	2363453573	1318485980	1044967593
Accumulated Depreciation	0	499540000	-499540000
Bank	1240859310	1223880925	16978385
Contract Revenue — Bridges & Flyovers	0	273228981	-273228981
Contract Revenue — Buildings	2199678	163366440	-161166762
Contract Revenue — Expressways	0	245501316	-245501316
Contract Revenue — Industrial EPC	887236	28292970	-27405734
Contract Revenue — Irrigation	1475002	49684764	-48209762
Contract Revenue — Roads & Highways	0	20355665	-20355665
Contract Revenue — Sewerage & Drainage	0	462328339	-462328339
Contract Revenue — Tunnels	3521386	214423294	-210901908
Contract Revenue — Water Treatment	3739277	545745014	-542005737
Depreciation Expense	499540000	0	499540000
Equipment Hire Charges	369887430	0	369887430
GST Input Credit	237336442	287850858	-50514416
Materials Consumed	142385332	0	142385332
Output GST Payable	289978920	360526790	-70547870
Plant & Machinery	111500000	0	111500000
Retention Money Receivable	41565278	0	41565278
Salaries & Site Overheads	60207982	0	60207982
Site Services	361599928	0	361599928
Specialist Works	287206399	0	287206399
Subcontracting Charges	157456843	0	157456843
TDS Payable	17469173	17839701	-370528
TDS Receivable	22110751	0	22110751
TOTAL	7266923411	7266923411	0
=== SHEET: TB 2021-22 ===
Account	Debit (INR)	Credit (INR)	Balance (INR)
Accounts Payable	1511895194	1928851349	-416956155
Accounts Receivable	3900995965	3068222002	832773963
Accumulated Depreciation	0	652180000	-652180000
Bank	2866011014	2390152223	475858791
Contract Revenue — Bridges & Flyovers	0	267182789	-267182789
Contract Revenue — Buildings	0	146345472	-146345472
Contract Revenue — Expressways	3930800	872030171	-868099371
Contract Revenue — Industrial EPC	0	145781896	-145781896
Contract Revenue — Irrigation	0	99369528	-99369528
Contract Revenue — Large Bridges	8566418	202303929	-193737511
Contract Revenue — Roads & Highways	0	99722694	-99722694
Contract Revenue — Sewerage & Drainage	13117011	468693669	-455576658
Contract Revenue — Small Buildings	0	22411273	-22411273
Contract Revenue — Tunnels	8218633	623249982	-615031349
Contract Revenue — Water Treatment	5185334	358837421	-353652087
Depreciation Expense	652180000	0	652180000
Equipment Hire Charges	381044057	0	381044057
GST Input Credit	294231536	512641631	-218410095
Materials Consumed	290426610	0	290426610
Output GST Payable	519664903	595067141	-75402238
Plant & Machinery	1526400000	0	1526400000
Retention Money Receivable	104946159	0	104946159
Salaries & Site Overheads	724615958	0	724615958
Site Services	379847332	0	379847332
Specialist Works	342082071	0	342082071
Subcontracting Charges	241219743	0	241219743
TDS Payable	24366386	25625315	-1258929
TDS Receivable	51223361	0	51223361
Term Loans (Secured)	0	1371500000	-1371500000
TOTAL	13850168485	13850168485	0
=== SHEET: TB 2022-23 ===
Account	Debit (INR)	Credit (INR)	Balance (INR)
Accounts Payable	2156277104	2658154937	-501877833
Accounts Receivable	5059596285	3898401370	1161194915
Accumulated Depreciation	0	743690000	-743690000
