question_id,answer,score
HV-IC-0001,129400000,0.044
HV-IC-0002,1516600000,1.0
HV-IC-0003,90.19,1.0
HV-IC-0006,-8224643926,0.0
HV-IC-0009,0.0,0.0
HV-IC-0010,88.9,1.0
HV-IC-0014,536,1.0
HV-IC-0017,0,0.0
HV-IC-0018,1150300000,1.0
HV-IC-0020,2,1.0
HV-IC-0021,1189100000,1.0
HV-IC-0023,178752078666,0.0
HV-IC-0024,160,1.0
HV-IC-0025,4148000000,0.0
HV-IC-0026,1649200000,0.396
HV-IC-0027,4068100000,0.796
HV-IC-0028,2942400000,1.0
HV-IC-0030,207675000,0.936
HV-IC-0031,0,0.0
HV-IC-0032,0,0.0
HV-IC-0033,0,0.0
HV-IC-0036,1232600000,1.0
HV-IC-0037,99.78,1.0
HV-IC-0038,100.0,0.72
HV-IC-0039,507900000,1.0
HV-IC-0040,0,0.0
HV-IC-0041,2510524946,0.0
HV-IC-0043,9106347405,0.0
HV-IC-0044,-17180000,0.0
HV-IC-0045,710,1.0
HV-IC-0046,920500000,0.602
HV-IC-0048,128700000,1.0
HV-IC-0049,2008200000,0.59
HV-IC-0050,565300000,0.942
HV-IC-0051,490300000,0.417
HV-IC-0053,55.5,1.0
HV-IC-0054,1061900000,0.124
HV-IC-0055,53259781488,0.0
HV-IC-0056,2470800000,0.84
HV-IC-0059,676,1.0
HV-IC-0061,178752078666,0.0
HV-IC-0063,2,1.0
HV-IC-0071,421500000,0.0
HV-IC-0072,0,0.0
HV-IC-0073,0.0,0.0
HV-IC-0074,2,1.0
HV-IC-0076,1449,1.0
HV-IC-0080,0.0,0.0
HV-IC-0081,430100000,1.0
HV-IC-0082,27700000,0.133
HV-IC-0085,867700000,0.893
HV-IC-0086,0,0.0
HV-IC-0088,920400000,0.0
HV-IC-0090,2341700000,1.0
HV-IC-0091,2,1.0
HV-IC-0092,0,0.0
HV-IC-0093,111550000,0.402
HV-IC-0095,88.89,1.0
HV-IC-0096,207675000,1.0
HV-IC-0097,0.0,0.0
HV-IC-0098,414200000,0.112
HV-IC-0099,0,0.0
HV-IC-0100,0,0.0
HV-IC-0104,3784100000,0.0
HV-IC-0105,8503600000,0.873
HV-IC-0110,89.19,1.0
HV-IC-0111,2219900000,1.0
HV-IC-0112,-159600000,0.0
HV-IC-0114,2,1.0
HV-IC-0115,268000000,0.439
HV-IC-0118,0,0.0
HV-IC-0119,263900000,0.809
HV-IC-0120,3507654,0.001
HV-IC-0121,854,1.0
HV-IC-0122,-2730900000,0.0
HV-IC-0123,5,1.0
HV-IC-0124,3849600000,1.0
HV-IC-0125,2303100000,1.0
HV-IC-0127,0,0.0
HV-IC-0129,3296200000,0.759
HV-IC-0130,3698700000,1.0
HV-IC-0131,592700000,1.0
HV-IC-0134,0,0.0
HV-IC-0135,2833800000,1.0
HV-IC-0136,0,0.0
HV-IC-0138,1926564668,0.987
HV-IC-0139,100.0,0.99
HV-IC-0140,2615300000,1.0
HV-IC-0144,1388,1.0
HV-IC-0146,0.0,0.0
HV-IC-0148,898400000,0.0
HV-IC-0149,1366300000,1.0
HV-IC-0151,769000000,1.0
HV-IC-0153,178300000,0.021
HV-IC-0155,221200000,0.878
HV-IC-0156,8503600000,0.788
HV-IC-0158,0,0.0
HV-IC-0159,4563200000,1.0
HV-IC-0161,801,1.0
HV-IC-0162,0,0.0
HV-IC-0163,8563200000,0.777
HV-IC-0164,0,0.0
HV-IC-0167,0,0.0
HV-IC-0172,1118200000,0.73
HV-IC-0175,1661400000,1.0
HV-IC-0176,2097600000,1.0
HV-IC-0177,0,0.0
HV-IC-0178,-16233333,0.0
HV-IC-0180,88.89,1.0
HV-IC-0181,0,0.0
HV-IC-0183,799400000,0.791
HV-IC-0184,0,0.0
HV-IC-0185,0,0.0
HV-IC-0186,201600000,1.0
HV-IC-0188,0,0.0
HV-IC-0189,82.4,1.0
HV-IC-0191,3698700000,0.995
HV-IC-0192,0,0.0
HV-IC-0193,0,0.0
HV-IC-0194,0,0.0
HV-IC-0195,0.0,0.0
HV-IC-0196,618500000,0.0
HV-IC-0197,0,0.0
HV-IC-0198,1033673040,1.0
HV-IC-0200,438,1.0
HV-IC-0202,1649200000,0.983
HV-IC-0206,4098100000,1.0
HV-IC-0207,1083300000,1.0
HV-IC-0209,338420000,0.768
HV-IC-0211,156900000,0.0
HV-IC-0212,-153615621,0.0
HV-IC-0214,99.05,0.74
HV-IC-0215,3284500000,1.0
HV-IC-0216,831800000,1.0
HV-IC-0217,1961350000,0.162
HV-IC-0220,1366300000,0.732
HV-IC-0222,617700000,0.107
HV-IC-0223,7802900000,1.0
HV-IC-0224,1591200000,1.0
HV-IC-0225,5,0.833
HV-IC-0226,1732800000,1.0
HV-IC-0227,25707577258,0.0
HV-IC-0228,3289100000,0.321
HV-IC-0229,1015700000,0.434
HV-IC-0232,1366300000,0.0
HV-IC-0233,39900000,0.012
HV-IC-0234,0,0.0
HV-IC-0235,2262700000,1.0
HV-IC-0236,0,0.0
HV-IC-0240,0,0.0
HV-IC-0242,8563200000,0.985
HV-IC-0243,0,0.0
HV-IC-0244,0,0.0
HV-IC-0248,653500000,0.0
HV-IC-0249,268000000,0.224
HV-IC-0253,83.33,1.0
HV-IC-0255,1005100000,0.442
HV-IC-0256,0.0,0.0
HV-IC-0258,3658900000,0.779
HV-IC-0259,4197250000,0.0
HV-IC-0260,8563200000,1.0
HV-IC-0263,3,1.0
HV-IC-0264,3264800000,0.122
HV-IC-0266,-8988346749,0.0
HV-IC-0268,0,0.0
HV-IC-0269,368700000,1.0
HV-IC-0270,410800000,1.0
HV-IC-0271,240294737,1.0
HV-IC-0273,2262700000,1.0
HV-IC-0276,31871429,0.0
HV-IC-0278,0,0.0
HV-IC-0279,790600000,0.0
HV-IC-0280,12200000,0.007
HV-IC-0282,50500000,1.0
HV-IC-0284,72707183682,0.0
HV-IC-0285,2341700000,0.267
HV-IC-0286,1667500000,0.741
HV-IC-0287,826600000,1.0
HV-IC-0289,492000000,0.872
HV-IC-0290,1503,1.0
HV-IC-0291,321400000,0.549
HV-IC-0292,2730900000,1.0
HV-IC-0293,176700000,0.562
HV-IC-0294,0,0.0
HV-IC-0295,720200000,1.0
HV-IC-0296,0,0.0
HV-IC-0297,676500000,0.0
HV-IC-0299,2942400000,0.881
HV-IC-0300,3163100000,1.0
HV-IC-0301,63680084123,0.0
HV-IC-0302,2211800000,0.381
HV-IC-0304,0,0.0
HV-IC-0305,296300000,1.0
HV-IC-0306,2331100000,0.946
HV-IC-0310,1255700000,1.0
HV-IC-0311,3490000000,0.0
HV-IC-0312,77,1.0
HV-IC-0313,21150478662,0.0
HV-IC-0314,85.71,1.0
HV-IC-0315,0,0.0
HV-IC-0316,153300000,1.0
HV-IC-0318,0,0.0
HV-IC-0319,1831600000,1.0
HV-IC-0322,2942400000,0.971
HV-IC-0323,1219500000,1.0
HV-IC-0324,1308,1.0
HV-IC-0326,0,0.0
HV-IC-0327,582600000,1.0
HV-IC-0328,1522500000,1.0
HV-IC-0329,0,0.0
HV-IC-0330,0,0.0
HV-IC-0331,0.0,0.0
HV-IC-0332,1702800000,0.023
HV-IC-0333,43720000,0.0
HV-IC-0334,11324400000,0.0
HV-IC-0335,0,0.0
HV-IC-0336,92.5,1.0
HV-IC-0337,284787500,0.732
HV-IC-0338,28088726784,0.0
HV-IC-0339,110,1.0
HV-IC-0340,284787500,0.188
HV-IC-0342,85650000,0.19
HV-IC-0343,375200000,0.114
HV-IC-0344,729900000,0.0
HV-IC-0346,82.4,1.0
HV-IC-0347,83.33,1.0
HV-IC-0348,714500000,1.0
HV-IC-0349,0,0.0
HV-IC-0350,99.78,1.0
HV-IC-0351,898500000,1.0
HV-IC-0352,100.0,0.998
HV-IC-0356,1585350000,0.165
HV-IC-0357,62.5,1.0
HV-IC-0361,78.18,1.0
HV-IC-0362,178752078666,0.0
HV-IC-0368,0,0.0
HV-IC-0371,181544012,0.288
HV-IC-0373,0.0,0.0
HV-IC-0374,20400000,0.101
HV-IC-0376,1944300000,0.815
HV-IC-0377,1957800000,0.55
HV-IC-0380,5,1.0
HV-IC-0381,258859089,0.25
HV-IC-0382,304845395,0.574
HV-IC-0385,88.9,1.0
HV-IC-0386,8503600000,0.873
HV-IC-0387,1680,1.0
HV-IC-0389,89.47,1.0
