question_id,answer,score
HV-IC-0001,129400000,0.044
HV-IC-0002,1516600000,1.0
HV-IC-0003,0.0,0.0
HV-IC-0006,77324556074,0.0
HV-IC-0009,109.4,0.672
HV-IC-0010,88.9,1.0
HV-IC-0014,536,1.0
HV-IC-0017,28000000,0.086
HV-IC-0018,0,0.0
HV-IC-0020,2,1.0
HV-IC-0021,1554300000,0.693
HV-IC-0023,2293370196,1.0
HV-IC-0024,160,1.0
HV-IC-0025,15188100000,0.0
HV-IC-0026,1649200000,0.396
HV-IC-0027,4068100000,0.796
HV-IC-0028,1329700000,0.452
HV-IC-0030,207675000,0.936
HV-IC-0031,0,0.0
HV-IC-0032,1957800000,0.765
HV-IC-0033,0,0.0
HV-IC-0036,1232600000,1.0
HV-IC-0037,0.0,0.0
HV-IC-0038,0.0,0.0
HV-IC-0039,507900000,1.0
HV-IC-0040,0,0.0
HV-IC-0041,0,0.0
HV-IC-0043,21773140911,0.0
HV-IC-0044,0,0.0
HV-IC-0045,0,0.0
HV-IC-0046,1782600000,0.0
HV-IC-0048,2075900000,0.0
HV-IC-0049,2008200000,0.59
HV-IC-0050,565300000,0.942
HV-IC-0051,490300000,0.417
HV-IC-0053,180.18,0.0
HV-IC-0054,1061900000,0.124
HV-IC-0055,6592400000,0.0
HV-IC-0056,293500000,0.1
HV-IC-0059,0,0.0
HV-IC-0061,185867353098,0.0
HV-IC-0063,2,1.0
HV-IC-0071,471500000,0.0
HV-IC-0072,0,0.0
HV-IC-0073,0.0,0.0
HV-IC-0074,2,1.0
HV-IC-0076,0,0.0
HV-IC-0080,109.51,0.598
HV-IC-0081,430100000,1.0
HV-IC-0082,27700000,0.133
HV-IC-0085,783700000,1.0
HV-IC-0086,0,0.0
HV-IC-0088,0,0.0
HV-IC-0090,2341700000,1.0
HV-IC-0091,2,1.0
HV-IC-0092,0,0.0
HV-IC-0093,100166667,0.361
HV-IC-0095,88.89,1.0
HV-IC-0096,0,0.0
HV-IC-0097,100.0,0.72
HV-IC-0098,414200000,0.112
HV-IC-0099,0,0.0
HV-IC-0100,0,0.0
HV-IC-0104,3784100000,0.0
HV-IC-0105,8528600000,0.87
HV-IC-0110,0.0,0.0
HV-IC-0111,474100000,0.214
HV-IC-0112,2255100000,0.0
HV-IC-0114,2,1.0
HV-IC-0115,268000000,0.439
HV-IC-0118,0,0.0
HV-IC-0119,326300000,1.0
HV-IC-0120,368219130615,0.0
HV-IC-0121,0,0.0
HV-IC-0122,2942400000,0.0
HV-IC-0123,5,1.0
HV-IC-0124,3849600000,1.0
HV-IC-0125,2303100000,1.0
HV-IC-0127,1167000000,0.0
HV-IC-0129,55142700000,0.0
HV-IC-0130,3698700000,1.0
HV-IC-0131,592700000,1.0
HV-IC-0134,400000000,0.888
HV-IC-0135,2833800000,1.0
HV-IC-0136,0,0.0
HV-IC-0138,5685988008,0.0
HV-IC-0139,99.05,1.0
HV-IC-0140,5230600000,0.0
HV-IC-0144,1388,1.0
HV-IC-0146,92.5,0.96
HV-IC-0148,0,0.0
HV-IC-0149,491100000,0.359
HV-IC-0151,769000000,1.0
HV-IC-0153,178300000,0.021
HV-IC-0155,8911600000,0.0
HV-IC-0156,8563200000,0.779
HV-IC-0158,1589,1.0
HV-IC-0159,4563200000,1.0
HV-IC-0161,0,0.0
HV-IC-0162,1318200000,0.0
HV-IC-0163,8563200000,0.777
HV-IC-0164,1,0.007
HV-IC-0167,0,0.0
HV-IC-0172,-115433333,0.0
HV-IC-0175,468900000,0.282
HV-IC-0176,2097600000,1.0
HV-IC-0177,0,0.0
HV-IC-0178,862350000,0.0
HV-IC-0180,88.89,1.0
HV-IC-0181,5,1.0
HV-IC-0183,511,0.0
HV-IC-0184,317128571,0.405
HV-IC-0185,284100000,0.205
HV-IC-0186,201600000,1.0
HV-IC-0188,1015700000,0.0
HV-IC-0189,82.4,1.0
HV-IC-0191,3679300000,1.0
HV-IC-0192,0,0.0
HV-IC-0193,-365200000,0.0
HV-IC-0194,0,0.0
HV-IC-0195,58.0,0.65
HV-IC-0196,618500000,0.0
HV-IC-0197,3960837708,0.0
HV-IC-0198,1033673040,1.0
HV-IC-0200,0,0.0
HV-IC-0202,1621500000,1.0
HV-IC-0206,314000000,0.077
HV-IC-0207,1083300000,1.0
HV-IC-0209,375200000,0.634
HV-IC-0211,156900000,0.0
HV-IC-0212,84984790653,0.0
HV-IC-0214,99.05,0.74
HV-IC-0215,414200000,0.126
HV-IC-0216,831800000,1.0
HV-IC-0217,1961350000,0.162
HV-IC-0220,1366300000,0.732
HV-IC-0222,0,0.0
HV-IC-0223,760300000,0.097
HV-IC-0224,358600000,0.225
HV-IC-0225,6,1.0
HV-IC-0226,1732800000,1.0
HV-IC-0227,50455373040,0.0
HV-IC-0228,2018800000,0.969
HV-IC-0229,1015700000,0.434
HV-IC-0232,1366300000,0.0
HV-IC-0233,39900000,0.012
HV-IC-0234,0,0.0
HV-IC-0235,2262700000,1.0
HV-IC-0236,1833300000,0.468
HV-IC-0240,214200000,0.64
HV-IC-0242,8436100000,1.0
HV-IC-0243,4423200000,0.0
HV-IC-0244,0,0.0
HV-IC-0248,73950000,0.703
HV-IC-0249,1732800000,0.552
HV-IC-0253,83.33,1.0
HV-IC-0255,2341700000,0.0
HV-IC-0256,79.82,1.0
HV-IC-0258,3658900000,0.779
HV-IC-0259,0,0.0
HV-IC-0260,308800000,0.036
HV-IC-0263,3,1.0
HV-IC-0264,3264800000,0.122
HV-IC-0266,1691908530,1.0
HV-IC-0268,910400000,0.0
HV-IC-0269,368700000,1.0
HV-IC-0270,410800000,1.0
HV-IC-0271,0,0.0
HV-IC-0273,2262700000,1.0
HV-IC-0276,0,0.0
HV-IC-0278,0,0.0
HV-IC-0279,790600000,0.0
HV-IC-0280,12200000,0.007
HV-IC-0282,647900000,0.0
HV-IC-0284,875511822,1.0
HV-IC-0285,74007032129,0.0
HV-IC-0286,0,0.0
HV-IC-0287,128000000,0.155
HV-IC-0289,492000000,0.872
HV-IC-0290,0,0.0
HV-IC-0291,30000000,0.051
HV-IC-0292,2730900000,1.0
HV-IC-0293,667800000,0.0
HV-IC-0294,3336816908,1.0
HV-IC-0295,1136000000,0.423
HV-IC-0296,2211800000,0.0
HV-IC-0297,0,0.0
HV-IC-0299,2942400000,0.881
HV-IC-0300,3163100000,1.0
HV-IC-0301,1425667047,0.945
HV-IC-0302,181700000,0.133
HV-IC-0304,0,0.0
HV-IC-0305,296300000,1.0
HV-IC-0306,2212300000,1.0
HV-IC-0310,1294500000,0.969
HV-IC-0311,861300000,1.0
HV-IC-0312,77,1.0
HV-IC-0313,21150478662,0.0
HV-IC-0314,85.71,1.0
HV-IC-0315,0,0.0
HV-IC-0316,910400000,0.0
HV-IC-0318,0,0.0
HV-IC-0319,1524300000,0.832
HV-IC-0322,2942400000,0.971
HV-IC-0323,1219500000,1.0
HV-IC-0324,1308,1.0
HV-IC-0326,435666667,0.849
HV-IC-0327,610300000,0.952
HV-IC-0328,1522500000,1.0
HV-IC-0329,0,0.0
HV-IC-0330,4243158462,1.0
HV-IC-0331,0.0,0.0
HV-IC-0332,1702800000,0.023
HV-IC-0333,0,0.0
HV-IC-0334,265700000,1.0
HV-IC-0335,798,1.0
HV-IC-0336,180.18,0.052
HV-IC-0337,746600000,0.081
HV-IC-0338,629771836,1.0
HV-IC-0339,110,1.0
HV-IC-0340,69500000,0.442
HV-IC-0342,721000000,0.4
HV-IC-0343,375200000,0.114
HV-IC-0344,729900000,0.0
HV-IC-0346,121.36,0.527
HV-IC-0347,0.0,0.0
HV-IC-0348,714500000,1.0
HV-IC-0349,0,0.0
HV-IC-0350,0.0,0.0
HV-IC-0351,898500000,1.0
HV-IC-0352,0.0,0.0
HV-IC-0356,736000000,0.852
HV-IC-0357,62.5,1.0
HV-IC-0361,0.0,0.0
HV-IC-0362,2600742074,0.866
HV-IC-0368,0,0.0
HV-IC-0371,34857881784,0.0
HV-IC-0373,0.0,0.0
HV-IC-0374,0,0.0
HV-IC-0376,1944300000,0.815
HV-IC-0377,1957800000,0.55
HV-IC-0380,5,1.0
HV-IC-0381,80324286377,0.0
HV-IC-0382,79458473839,0.0
HV-IC-0385,88.9,1.0
HV-IC-0386,8528600000,0.87
HV-IC-0387,1680,1.0
HV-IC-0389,89.47,1.0
